"p","w","t"
"0.3","17","230"
"0.3","18","270"
"0.3","19","310"
"0.3","20","270"
"0.3","21","340"
"0.3","22","270"
"0.3","23","350"
"0.3","24","360"
"0.3","25","340"
"0.3","26","370"
"0.3","27","420"
"0.3","28","380"
"0.3","29","440"
"0.3","30","430"
"0.3","31","450"
"0.3","32","400"
"0.3","33","480"
"0.3","34","440"
"0.3","35","440"
"0.3","36","490"
"0.3","37","530"
"0.3","38","570"
"0.3","39","580"
"0.3","40","590"
"0.3","41","710"
"0.3","42","550"
"0.3","43","620"
"0.3","44","730"
"0.3","45","670"
"0.3","46","650"
"0.3","47","710"
"0.3","48","760"
"0.3","49","640"
"0.35","2","60"
"0.35","3","60"
"0.35","4","70"
"0.35","5","70"
"0.35","6","90"
"0.35","7","150"
"0.35","8","80"
"0.35","9","260"
"0.35","10","150"
"0.35","11","200"
"0.35","12","140"
"0.35","13","250"
"0.35","14","200"
"0.35","15","230"
"0.35","16","270"
"0.35","17","240"
"0.35","18","250"
"0.35","19","290"
"0.35","20","320"
"0.35","21","370"
"0.35","22","360"
"0.35","23","370"
"0.35","24","440"
"0.35","25","460"
"0.35","26","340"
"0.35","27","520"
"0.35","28","530"
"0.35","29","520"
"0.35","30","480"
"0.35","31","470"
"0.35","32","540"
"0.35","33","540"
"0.35","34","560"
"0.35","35","550"
"0.35","36","740"
"0.35","37","490"
"0.35","38","560"
"0.35","39","680"
"0.35","40","730"
"0.35","41","690"
"0.35","42","680"
"0.35","43","660"
"0.35","44","600"
"0.35","45","710"
"0.35","46","740"
"0.35","47","780"
"0.35","48","790"
"0.35","49","820"
"0.39999999999999997","2","20"
"0.39999999999999997","3","40"
"0.39999999999999997","4","80"
"0.39999999999999997","5","90"
"0.39999999999999997","6","70"
"0.39999999999999997","7","130"
"0.39999999999999997","8","140"
"0.39999999999999997","9","230"
"0.39999999999999997","10","240"
"0.39999999999999997","11","190"
"0.39999999999999997","12","240"
"0.39999999999999997","13","210"
"0.39999999999999997","14","310"
"0.39999999999999997","15","270"
"0.39999999999999997","16","250"
"0.39999999999999997","17","400"
"0.39999999999999997","18","250"
"0.39999999999999997","19","300"
"0.39999999999999997","20","350"
"0.39999999999999997","21","350"
"0.39999999999999997","22","400"
"0.39999999999999997","23","430"
"0.39999999999999997","24","380"
"0.39999999999999997","25","620"
"0.39999999999999997","26","420"
"0.39999999999999997","27","530"
"0.39999999999999997","28","530"
"0.39999999999999997","29","520"
"0.39999999999999997","30","510"
"0.39999999999999997","31","480"
"0.39999999999999997","32","530"
"0.39999999999999997","33","510"
"0.39999999999999997","34","630"
"0.39999999999999997","35","840"
"0.39999999999999997","36","660"
"0.39999999999999997","37","610"
"0.39999999999999997","38","610"
"0.39999999999999997","39","780"
"0.39999999999999997","40","870"
"0.39999999999999997","41","620"
"0.39999999999999997","42","650"
"0.39999999999999997","43","760"
"0.39999999999999997","44","790"
"0.39999999999999997","45","880"
"0.39999999999999997","46","890"
"0.39999999999999997","47","770"
"0.39999999999999997","48","810"
"0.39999999999999997","49","910"
"0.44999999999999996","2","20"
"0.44999999999999996","3","60"
"0.44999999999999996","4","80"
"0.44999999999999996","5","120"
"0.44999999999999996","6","120"
"0.44999999999999996","7","110"
"0.44999999999999996","8","120"
"0.44999999999999996","9","290"
"0.44999999999999996","10","140"
"0.44999999999999996","11","310"
"0.44999999999999996","12","250"
"0.44999999999999996","13","300"
"0.44999999999999996","14","470"
"0.44999999999999996","15","280"
"0.44999999999999996","16","370"
"0.44999999999999996","17","260"
"0.44999999999999996","18","280"
"0.44999999999999996","19","330"
"0.44999999999999996","20","330"
"0.44999999999999996","21","400"
"0.44999999999999996","22","430"
"0.44999999999999996","23","390"
"0.44999999999999996","24","430"
"0.44999999999999996","25","510"
"0.44999999999999996","26","550"
"0.44999999999999996","27","650"
"0.44999999999999996","28","530"
"0.44999999999999996","29","640"
"0.44999999999999996","30","800"
"0.44999999999999996","31","680"
"0.44999999999999996","32","750"
"0.44999999999999996","33","630"
"0.44999999999999996","34","660"
"0.44999999999999996","35","580"
"0.44999999999999996","36","610"
"0.44999999999999996","37","620"
"0.44999999999999996","38","830"
"0.44999999999999996","39","890"
"0.44999999999999996","40","750"
"0.44999999999999996","41","840"
"0.44999999999999996","42","770"
"0.44999999999999996","43","970"
"0.44999999999999996","44","950"
"0.44999999999999996","45","800"
"0.44999999999999996","46","770"
"0.44999999999999996","47","1080"
"0.44999999999999996","48","920"
"0.44999999999999996","49","1150"
"0.49999999999999994","2","20"
"0.49999999999999994","3","50"
"0.49999999999999994","4","40"
"0.49999999999999994","5","140"
"0.49999999999999994","6","110"
"0.49999999999999994","7","130"
"0.49999999999999994","8","260"
"0.49999999999999994","9","180"
"0.49999999999999994","10","240"
"0.49999999999999994","11","210"
"0.49999999999999994","12","330"
"0.49999999999999994","13","310"
"0.49999999999999994","14","280"
"0.49999999999999994","15","430"
"0.49999999999999994","16","450"
"0.49999999999999994","17","290"
"0.49999999999999994","18","400"
"0.49999999999999994","19","380"
"0.49999999999999994","20","430"
"0.49999999999999994","21","540"
"0.49999999999999994","22","560"
"0.49999999999999994","23","520"
"0.49999999999999994","24","530"
"0.49999999999999994","25","520"
"0.49999999999999994","26","640"
"0.49999999999999994","27","710"
"0.49999999999999994","28","570"
"0.49999999999999994","29","560"
"0.49999999999999994","30","680"
"0.49999999999999994","31","630"
"0.49999999999999994","32","690"
"0.49999999999999994","33","780"
"0.49999999999999994","34","690"
"0.49999999999999994","35","950"
